Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.670070571441291563e+00,4.005067039162566900e+00,4.882392836480407333e-06,1.301936973858587696e-05
2.670070571441291563e+00,4.005067039162566900e+00,4.882392836480407333e-06,1.301936973858587696e-05,2.670120484926298943e+00,4.005219964308793124e+00,4.882178370520105040e-06,1.301948835704580038e-05
5.340191056367590505e+00,8.010287003471360023e+00,9.764571207000512373e-06,2.603885809563167734e-05,2.670239303597217173e+00,4.005358108100104175e+00,4.882285500289650705e-06,1.301942798727708672e-05
8.010430359964807678e+00,1.201564511157146420e+01,1.464685670729016308e-05,3.905828608290876406e-05,2.670334519449850674e+00,4.005502452650040013e+00,4.882286401644731773e-06,1.301942727749367873e-05
1.068076487941465835e+01,1.602114756422150421e+01,1.952914310893489485e-05,5.207771336040244278e-05,2.670430213151776755e+00,4.005643937604940419e+00,4.882285847403376408e-06,1.301942947568036620e-05
1.335119509256643511e+01,2.002679150182644463e+01,2.441142895633827126e-05,6.509714283608280898e-05,2.670525907868949389e+00,4.005790192713050146e+00,4.882285293053763455e-06,1.301942876146305243e-05
1.602172100043538450e+01,2.403258169453949478e+01,2.929371424939203471e-05,7.811657159754586141e-05,2.670621603628568153e+00,4.005930726884077586e+00,4.882286194048537036e-06,1.301942804484481362e-05
1.869234260406395265e+01,2.803851242142357236e+01,3.417600044344057175e-05,9.113599964239067503e-05,2.670716346672438846e+00,4.006076985103749877e+00,4.882285639468192308e-06,1.301942732604772146e-05
2.136305895073639149e+01,3.204458940652732224e+01,3.905828608290876406e-05,1.041554269684383965e-04,2.670812998150026374e+00,4.006219429809426913e+00,4.882285085001637987e-06,1.301942660529391543e-05
2.403387194888641787e+01,3.605080883633674915e+01,4.394057116791040205e-05,1.171748535737323119e-04,2.670907743215074959e+00,4.006361876229412644e+00,4.882284530426832855e-06,1.301943170250294724e-05
2.670477969210149283e+01,4.005717071256616180e+01,4.882285569833723490e-05,1.301942852762352592e-04,2.671004396817938442e+00,4.006504323687650526e+00,4.882286885704067764e-06,1.301942515695260418e-05
2.937578408891943127e+01,4.406367503625381232e+01,5.370514258404130266e-05,1.432137104331878633e-04,2.671099143826445754e+00,4.006650588409804925e+00,4.882283420716195400e-06,1.301943024943099086e-05
3.204688323274587702e+01,4.807032562466361725e+01,5.858742600475749806e-05,1.562331406826188542e-04,2.671193892115979907e+00,4.006793039489082275e+00,4.882288686124483003e-06,1.301943533972565884e-05
3.471807712486185693e+01,5.207711866415269952e+01,6.346971469088198107e-05,1.692525760223445130e-04,2.671292456193832265e+00,4.006935491466634858e+00,4.882288130837804277e-06,1.301942878771588318e-05
3.738936958105568920e+01,5.608405415561933438e+01,6.835200282171978534e-05,1.822720048100603962e-04,2.671387206119042901e+00,4.007077944855318208e+00,4.882281755413893148e-06,1.301942223419912071e-05
4.006075678717473210e+01,6.009113210047465259e+01,7.323428457713367849e-05,1.952914270442595169e-04,2.671481957496268933e+00,4.007224215892890129e+00,4.882287020412182923e-06,1.301942731766133634e-05
4.273223874467100103e+01,6.409835631636754272e+01,7.811657159754586141e-05,2.083108543619208533e-04,2.671576709657159654e+00,4.007366672296242882e+00,4.882286464800772094e-06,1.301942075971793903e-05
4.540381545432816068e+01,6.810572298866378560e+01,8.299885806234663351e-05,2.213302751216387923e-04,2.671671462819311671e+00,4.007509131788836498e+00,4.882285909303148283e-06,1.301943747752126886e-05
4.807548691714747235e+01,7.211323212045262210e+01,8.788114397164978179e-05,2.343497125991600611e-04,2.671770032033833786e+00,4.007651591200627195e+00,4.882285353475262937e-06,1.301943091507043655e-05
5.074725694918130614e+01,7.612088371165324929e+01,9.276342932512504473e-05,2.473691435142304977e-04,2.671864787235776362e+00,4.007794052023328391e+00,4.882284797761164610e-06,1.301942435066909742e-05
5.341912173641708250e+01,8.012867776367657768e+01,9.764571412288620934e-05,2.603885678648995951e-04,2.671959543765382250e+00,4.007944147695312154e+00,4.882290062019337324e-06,1.301944106110562585e-05
5.609108128018246475e+01,8.413662191137188984e+01,1.025280041849055467e-04,2.734080089260052210e-04,2.672058115765942432e+00,4.008078978094019362e+00,4.882283685757812255e-06,1.301941121593420698e-05
5.876313939594840718e+01,8.814470088946590920e+01,1.074102878706633589e-04,2.864274201419394279e-04,2.672149058883270811e+00,4.008229076972767757e+00,4.882283129719008929e-06,1.301942792164198764e-05
6.143528845483167800e+01,9.215292996643867696e+01,1.122925710003823678e-04,2.994468480635814156e-04,2.672251448378716532e+00,4.008371546061539448e+00,4.882282573349944069e-06,1.301944462471244651e-05
6.410753990321039453e+01,9.616130151250021640e+01,1.171748535737323119e-04,3.124662926882938621e-04,2.672338579112903290e+00,4.008514012179233532e+00,4.882293657250424447e-06,1.301941477399354459e-05
6.677987848232329782e+01,1.001698155246794499e+02,1.220571472309827364e-04,3.254857074622874067e-04,2.672440969939231081e+00,4.008656484275903154e+00,4.882281460674345709e-06,1.301943147255778819e-05
6.945231945226252890e+01,1.041784720089553531e+02,1.269394286916570821e-04,3.385051389348451949e-04,2.672535732224432081e+00,4.008798955545742615e+00,4.882280903980630062e-06,1.301942489307110398e-05
